"";"sentence";"sentiment";"prep_standard";"prep_full";"prep_masked"
4169;"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .";1;"among scandinavian present st petersburg name swedish concern ncc implement project field asphalt production road housing construction project swedish krona";"among scandinavian present st petersburg name swedish concern ncc implement project field asphalt production road housing construction project swedish krona";"among scandinavian present st petersburg name swedish concern ncc implement project field asphalt production road housing construction project swedish krona"
4170;"An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .";1;"international conference call audio webcast concern financial result january march 2010 begin 14 00 eet";"international conference call audio webcast concern financial result 2010:01:03 begin 14.00 eet";"international conference call audio webcast concern financial result [DATE] begin [NUMBER] eet"
4171;"Another problem is cola-flavoured long drinks .";1;"another problem cola flavour long drink";"another problem cola-flavoured long drink";"another problem cola-flavoured long drink"
4172;"Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .";1;"antniemi refute report daily turun sanomat reorganize operation baltic country";"antniemi refute report daily turun sanomat reorganize operation baltic country";"antniemi refute report daily turun sanomat reorganize operation baltic country"
4173;"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '";0;"antti orkola president kemira growhow industrial solution unit tell thomson financial news put open mine price phosphate quite depress long time";"antti orkola president kemira growhow industrial solution unit tell thomson financial news put open mine price phosphate quite depress long time";"antti orkola president kemira growhow industrial solution unit tell thomson financial news put open mine price phosphate quite depress long time"
4174;"Applying for summer work is seen as laborious and stressful .";0;"apply summer work see laborious stressful";"apply summer work see laborious stressful";"apply summer work see laborious stressful"
4175;"ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .";0;"arcelormittal chief executive officer lakshmi mittal already cut output furnace";"arcelormittal chief executive officer lakshmi mittal already cut output furnace";"arcelormittal chief executive officer lakshmi mittal already cut output furnace"
4176;"As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management .";1;"plan board director decide transfer maximum 330 000 share hold share issue payment direct aspo management hold acquire management";"plan board director decide transfer maximum 330000 share hold share issue payment direct aspo management hold acquire management";"plan board director decide transfer maximum [NUMBER] share hold share issue payment direct aspo management hold acquire management"
4177;"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .";0;"result 12 people make redundant total 67 person lay temporarily";"result 12 people make redundant total 67 person lay temporarily";"result [NUMBER] people make redundant total [NUMBER] person lay temporarily"
4178;"As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .";1;"result start negotiation bank provisional amendment concern covenant credit term";"result start negotiation bank provisional amendment concern covenant credit term";"result start negotiation bank provisional amendment concern covenant credit term"
4179;"As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .";0;"result negotiation decide make 45 people redundant financial production ground";"result negotiation decide make 45 people redundant financial production ground";"result negotiation decide make [NUMBER] people redundant financial production ground"
4180;"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .";0;"production product continue normally temporary lay offs concern simultaneously 80 employee";"production product continue normally temporary lay-offs concern simultaneously 80 employee";"production product continue normally temporary lay-offs concern simultaneously [NUMBER] employee"
4181;"Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .";1;"atrium say offer give swedish continue ownership control slaughtering cut operation";"atrium say offer give swedish continue ownership control slaughtering cut operation";"atrium say offer give swedish continue ownership control slaughtering cut operation"
4182;"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .";1;"aug 17 2010 curbed deliver newstex late rack cover shopping retail sidewalk up";"aug17 2010 curbed deliver newstex -- late rack cover shopping retail sidewalk up";"aug17 [DATE] curb deliver newstex -- late rack cover shopping retail sidewalk up"
4183;"Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .";1;"bertrand sciard vice chairman board director aldata solution since april 2007";"bertrand sciard vice chairman board director aldata solution since 2007:04";"bertrand sciard vice chairman board director aldata solution since [DATE]"
4184;"Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .";1;"bovine slaughtering cutting kuopio facility transfer kauhajoki slaughterhouse";"bovine slaughtering cutting kuopio facility transfer kauhajoki slaughterhouse";"bovine slaughtering cutting kuopio facility transfer kauhajoki slaughterhouse"
4185;"Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .";0;"chief executive officer olli pekka kallasvuo change tuesday mark third time nine month reshuffle executive operation lose ground apple iphone rim blackberry";"chief executive officer olli-pekka kallasvuo change tuesday mark third time 9months reshuffle executive operation lose ground apple iphone rim blackberry";"chief executive officer olli-pekka kallasvuo change tuesday mark third time 9months reshuffle executive operation lose ground apple iphone rim blackberry"
4186;"Cuts equivalent to the costs of about 35-45 employees are the target , the company said .";0;"cut equivalent cost 35 45 employee target say";"cut equivalent cost 35-45 employee target say";"cut equivalent cost [NUMBER] [NUMBER] employee target say"
4187;"EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .";0;"eb announce stock exchange release november 18th 2008 j bergqvist resign chairmanship membership board eb";"eb announce stock exchange release november 182008 jt bergqvist resign chairmanship membership board eb";"eb announce stock exchange release november [NUMBER] jt bergqvist resign chairmanship membership board eb"
4188;"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .";1;"international machinery rental ramirent plc rmr1v say friday 9 may president ceo kari kallio inform board intention retire 2009";"finland-based international machinery rental ramirent plc rmr1v say friday 9may president ceo kari kallio inform board intention retire 2009";"finland-based international machinery rental ramirent plc rmr1v say friday 9may president ceo kari kallio inform board intention retire [DATE]"
4189;"Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .";1;"electrical component maker salcomp sal1v announce launch late twist charger platform";"electrical component maker salcomp sal1v announce launch late twist charger platform";"electrical component maker salcomp sal1v announce launch late twist charger platform"
4190;"Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy .";0;"soapstone processing fireplace maker tulikivi say february 26 2007 cut less 20 job fireplace sale organization production facility subsidiary kermansavi";"soapstone processing fireplace maker tulikivi say 2007-2002-26 cut less 20 job fireplace sale organization production facility subsidiary kermansavi";"soapstone processing fireplace maker tulikivi say [DATE] [DATE] [NUMBER] cut less [NUMBER] job fireplace sale organization production facility subsidiary kermansavi"
4191;"Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland .";0;"suominen flexible packaging ltd local textile suominen suy1v say start employee negotiation concern entire personnel";"suominen flexible packaging ltd local textile suominen suy1v say start employee negotiation concern entire personnel";"suominen flexible packaging ltd local textile suominen suy1v say start employee negotiation concern entire personnel"
4192;"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .";0;"vaahto paper make technology process machinery start negotiation concern temporary lay offs 140 employee plant hollola tampere";"vaahto paper-making technology process machinery start negotiation concern temporary lay-offs 140 employee plant hollola tampere";"vaahto paper-making technology process machinery start negotiation concern temporary lay-offs [NUMBER] employee plant hollola tampere"
4193;"Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant .";1;"fortum look invest several new production unit new waste fire unit brista combine heat power chp plant biofuels production unit vartan chp plant";"fortum look invest several new production unit new waste-fired unit brista combine heat power chp plant biofuels-based production unit vartan chp plant";"fortum look invest several new production unit new waste-fired unit brista combine heat power chp plant biofuels-based production unit vartan chp plant"
4194;"GET MIDNIGHTTRADER IN REALTIME : This report is delayed .";1;"get midnighttrader realtime report delay";"get midnighttrader realtime report delay";"get midnighttrader realtime report delay"
4195;"Global life science industry is strictly regulated by international and national authorities .";1;"global life science industry strictly regulate international national authority";"global life science industry strictly regulate international national authority";"global life science industry strictly regulate international national authority"
4196;"He said he has been losing five families a month to the economy as many make alternative arrangements to save money .";0;"say lose five family month economy many make alternative arrangement save money";"say lose 5 family month economy many make alternative arrangement save money";"say lose [NUMBER] family month economy many make alternative arrangement save money"
4197;"His resignation will take effect immediately .";1;"resignation take effect immediately";"resignation take effect immediately";"resignation take effect immediately"
4198;"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .";1;"huhtamaki rigid plastic consumer good operation mainly europe separate new reporting segment 1 january 2009";"huhtamaki rigid plastic consumer good operation mainly europe separate new reporting segment 2009-2001-01";"huhtamaki rigid plastic consumer good operation mainly europe separate new reporting segment [DATE] [DATE] [NUMBER]"
4199;"In addition , the production at the Varpaisj+� rvi factory will be stopped at the beginning of April 2009 .";0;"addition production varpaisj rvi factory stop beginning april 2009";"addition production varpaisj rvi factory stop beginning 2009:04";"addition production varpaisj rvi factory stop beginning [DATE]"
4200;"In addition the production personnel of the Sport Division have been given a temporary lay-off warning .";0;"addition production personnel sport division give temporary lay warn";"addition production personnel sport division give temporary lay-off warning";"addition production personnel sport division give temporary lay-off warning"
4201;"In December , Amer announced the dismissal of CEO Roger Talermo , who had headed the company since 2006 .";1;"december amer announce dismissal ceo roger talermo head since 2006";"december amer announce dismissal ceo roger talermo head since 2006";"december amer announce dismissal ceo roger talermo head since [DATE]"
4202;"In Europe , the paper industry 's situation is paradoxical .";1;"europe paper industry situation paradoxical";"europe paper industry situation paradoxical";"europe paper industry situation paradoxical"
4203;"In parallel , TeliaSonera has decided to conduct a compulsory acquisition .";1;"parallel teliasonera decide conduct compulsory acquisition";"parallel teliasonera decide conduct compulsory acquisition";"parallel teliasonera decide conduct compulsory acquisition"
4204;"In Sweden , there is an oversupply of pharmacies .";0;"sweden oversupply pharmacy";"sweden oversupply pharmacy";"sweden oversupply pharmacy"
4205;"Incap Furniture is presently negotiating staff cuts .";0;"incap furniture presently negotiating staff cut";"incap furniture presently negotiating staff cut";"incap furniture presently negotiating staff cut"
4206;"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .";0;"initially say maximum 15 people make redundant parent 15 subsidiary";"initially say maximum 15 people make redundant parent 15 subsidiary";"initially say maximum [NUMBER] people make redundant parent [NUMBER] subsidiary"
4207;"It is a disappointment to see the plan folded .";0;"disappointment see plan fold";"disappointment see plan fold";"disappointment see plan fold"
4208;"It is the most awkward thing to use if you 're holding the phone with one hand .";0;"awkward thing hold phone one hand";"awkward thing hold phone 1 hand";"awkward thing hold phone [NUMBER] hand"
4209;"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .";0;"jul 18 police look man say terrorize three male gunpoint east maple avenue afternoon shoot one kidnap another";"jul18 -- police look man say terrorized 3males gunpoint east maple avenue afternoon shoot 1 kidnap another";"jul18 -- police look man say terrorized 3males gunpoint east maple avenue afternoon shoot [NUMBER] kidnap another"
4210;"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .";1;"jussi pesonen member sampo board since 2006 renounce seat sampo board";"jussi pesonen member sampo board since 2006 renounce seat sampo board";"jussi pesonen member sampo board since [DATE] renounce seat sampo board"
4211;"Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 .";1;"kesko previously publish stock exchange release concern deal 7 february 2007";"kesko previously publish stock exchange release concern deal 2007-2002-07";"kesko previously publish stock exchange release concern deal [DATE] [DATE] [NUMBER]"
4212;"Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .";0;"korhonen dismiss post editor chief newspaper lapin kansa december 2008";"korhonen dismiss post editor chief newspaper lapin kansa 2008:12";"korhonen dismiss post editor chief newspaper lapin kansa [DATE]"
4213;"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .";0;"last upm cut production close mill slash 700 job";"last upm cut production close mill slash 700 job";"last upm cut production close mill slash [NUMBER] job"
4214;"Less than ten people will face pension agreements .";1;"less ten people face pension agreement";"less 10 people face pension agreement";"less [NUMBER] people face pension agreement"
4215;"( ADP News ) - Jan 27 , 2009 - Finnish industrial machinery company Vaahto Group Ltd Oyj ( HEL : WAT1S ) said today that its subsidiary Vaahto Ltd would cut 15 jobs in Finland .";0;"adp news jan 27 2009 industrial machinery vaahto ltd wat1s say subsidiary vaahto ltd cut 15 job";"adp news 2009-2001-27 industrial machinery vaahto ltd wat1s say subsidiary vaahto ltd cut 15 job";"adp news [DATE] [DATE] [NUMBER] industrial machinery vaahto ltd wat1s say subsidiary vaahto ltd cut [NUMBER] job"
4216;"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .";0;"adpnews dec 1 2009 cutlery hand tool maker fiskars abp fisa say make redundant total 18 office management staff member subsidiary iittala ltd";"adpnews 2009-2012-01 cutlery hand tool maker fiskars abp fisa say make redundant total 18 office management staff member subsidiary iittala ltd";"adpnews [DATE] [DATE] [NUMBER] cutlery hand tool maker fiskars abp fisa say make redundant total [NUMBER] office management staff member subsidiary iittala ltd"
4217;"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .";1;"adpnews dec 30 2009 investment neomarkka nembv say furlough employee unit reka cable ltd less 90 day start january 2010";"adpnews 2009-2012-30 investment neomarkka nembv say furlough employee unit reka cable ltd less 90 day start 2010:01";"adpnews [DATE] [DATE] [NUMBER] investment neomarkka nembv say furlough employee unit reka cable ltd less [NUMBER] day start [DATE]"
4218;"Managing Director Timo Kohtam+�ki of Lemmink+�inen Infra nevertheless points out the continued need for infrastructure construction in the Baltic markets .";1;"manage director timo kohtam ki lemmink inen infra nevertheless point continued need infrastructure construction baltic market";"manage director timo kohtam ki lemmink inen infra nevertheless point continued need infrastructure construction baltic market";"manage director timo kohtam ki lemmink inen infra nevertheless point continued need infrastructure construction baltic market"
4219;"More than 14,000 customers were left powerless .";0;"more 14 000 customer leave powerless";"more 14000 customer leave powerless";"more [NUMBER] customer leave powerless"
4220;"Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .";1;"mr kari stadigh carry chairman board mr matti arteva vice chairman";"mr kari stadigh carry chairman board mr matti arteva vice-chairman";"mr kari stadigh carry chairman board mr matti arteva vice-chairman"
4221;"M-real will start statutory employer-employee negotiations at the +�+�nekoski board mill that concern about 130 people .";1;"real start statutory employer employee negotiation nekoski board mill concern 130 people";"m-real start statutory employer-employee negotiation nekoski board mill concern 130 people";"m-real start statutory employer-employee negotiation nekoski board mill concern [NUMBER] people"
4222;"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .";1;"neste oil refinery combined crude oil refining capacity approximately 260 000 barrel day";"neste oil refinery combined crude oil refining capacity approximately 260000 barrel day";"neste oil refinery combined crude oil refining capacity approximately [NUMBER] barrel day"
4223;"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .";1;"new chairman board director mr chaim katzman give presentation answer question";"new chairman board director mr chaim katzman give presentation answer question";"new chairman board director mr chaim katzman give presentation answer question"
4224;"Nokia has inaugurated its manufacturing plant near Chennai on 11 Mar 2006 .";1;"inaugurate manufacturing plant near chennai 11 mar 2006";"inaugurate manufacturing plant near chennai 2006-2003-11";"inaugurate manufacturing plant near chennai [DATE] [DATE] [NUMBER]"
4225;"Nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs .";1;"request stop make sell mobile phone pay monetary damage cost";"request stop make sell mobile phone pay monetary damage cost";"request stop make sell mobile phone pay monetary damage cost"
4226;"On 20 March 2006 , Stora Enso refused to comment the news in any way .";1;"20 march 2006 stora enso refuse comment news way";"2006-2003-20 stora enso refuse comment news way";"[DATE] [DATE] [NUMBER] stora enso refuse comment news way"
4227;"Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .";1;"panostaja board decide organisational meeting hold upon completion agm implement agm decision concern board member fee pay share way share transfer quarterly basis date follow publication quarterly annual report";"panostaja board decide organisational meeting hold upon completion agm implement agm decision concern board member fee pay share way share transfer quarterly basis date follow publication quarterly-annual report";"panostaja board decide organisational meeting hold upon completion agm implement agm decision concern board member fee pay share way share transfer quarterly basis date follow publication quarterly-annual report"
4228;"Rapala Fishing Frenzy 2009 .";1;"rapala fishing frenzy 2009";"rapala fishing frenzy 2009";"rapala fishing frenzy [DATE]"
4229;"Residents access to the block is planned to be from Aleksandri Street .";1;"resident access block plan aleksandri street";"resident access block plan aleksandri street";"resident access block plan aleksandri street"
4230;"Russian Media Ventures ' minority shareholder Peter Hervy denied the plans to sell OVA Press , the daily said .";1;"russian medium venture minority shareholder peter hervy deny plan sell ova press daily say";"russian medium venture minority shareholder peter hervy deny plan sell ova press daily say";"russian medium venture minority shareholder peter hervy deny plan sell ova press daily say"
4231;"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew .";1;"russian official inspect damage give vessel permission continue tallinn around 4 30 norwegian register sten nordic carry 11 000 ton gas oil man filipino crew";"russian official inspect damage give vessel permission continue tallinn around 4.30 norwegian-registered m-t sten nordic carry 11000 ton gas oil man filipino crew";"russian official inspect damage give vessel permission continue tallinn around [NUMBER] norwegian-registered m-t sten nordic carry [NUMBER] ton gas oil man filipino crew"
4232;"Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .";1;"sanoma announce stock option scheme 2008 19 december 2008";"sanoma announce stock option scheme 2008 2008-2012-19";"sanoma announce stock option scheme [DATE] [DATE] [DATE] [NUMBER]"
4233;"Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .";0;"scanfil execute temporary lay offs mid october 2009 job cut march 2010";"scanfil execute temporary lay-offs mid-2009:10 job cut 2010:03";"scanfil execute temporary lay-offs mid- [DATE] job cut [DATE]"
4234;"shock phase ' , consumers have once again started to plan and implement building projects .";1;"shock phase consumer start plan implement building project";"shock phase consumer start plan implement building project";"shock phase consumer start plan implement building project"
4235;"Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .";1;"short term license game cost little 3 purchase game outright cost much 10 15";"short-term license game cost little usd3 purchase game outright cost much usd10 usd15";"short-term license game cost little [MONEY] purchase game outright cost much [MONEY] [MONEY]"
4236;"So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes .";1;"mr galvan make saving adjustment buying less liquor watch portion size";"mr galvan make saving adjustment buying less liquor watch portion size";"mr galvan make saving adjustment buying less liquor watch portion size"
4237;"Some 250 people , of whom more than 200 are workers , will be retiring from the Raahe Works between 2008 and 2011 .";1;"250 people more 200 worker retire raahe work 2008 2011";"250 people more 200 worker retire raahe work 2008 2011";"[NUMBER] people more [NUMBER] worker retire raahe work [DATE] [DATE]"
4238;"SWOT analysis is just one method of categorization and has its own weaknesses .";1;"swot analysis one method categorization weakness";"swot analysis 1method categorization weakness";"swot analysis 1method categorization weakness"
4239;"The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .";1;"adjustment concern staff specialty paper fiber composites segment";"adjustment concern staff specialty paper fiber composites segment";"adjustment concern staff specialty paper fiber composites segment"
4240;"The appointments will be in force until the new CEO has been appointed .";1;"appointment force new ceo appoint";"appointment force new ceo appoint";"appointment force new ceo appoint"
4241;"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .";1;"authorisation force next annual general meeting repeal authorisation acquire share give general meeting hold april 4 2007";"authorisation force next annual general meeting repeal authorisation acquire share give general meeting hold 2007-2004-04";"authorisation force next annual general meeting repeal authorisation acquire share give general meeting hold [DATE] [DATE] [NUMBER]"
4242;"The authorization is in force for a period of 18 months from the resolution by the General Meeting .";1;"authorization force 18 month resolution general meeting";"authorization force 18months resolution general meeting";"authorization force 18months resolution general meeting"
4243;"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .";1;"business gross write premium eur152 4 91 5 2000 net combine ratio 133 175 staff total office uk germany benelux";"business gross write premium eur152.4m 91.5m 2000 net combine ratio 133pct 175 staff total office uk germany benelux";"business gross write premium [MONEY] [MEASUREMENT] [MEASUREMENT] [DATE] net combine ratio [PERCENT] [NUMBER] staff total office uk germany benelux"
4244;"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .";1;"chilled meat product category lead meat fish poultry market accounting share 31 4";"chilled meat product category lead meat fish poultry market accounting share 31.4pct";"chilled meat product category lead meat fish poultry market accounting share [PERCENT]"
4245;"The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid .";1;"split two over coming month essent owning operating production supply enexis owning operate grid";"split 2 over coming month essent owning operating production supply enexis owning operate grid";"split [NUMBER] over coming month essent owning operating production supply enexis owning operate grid"
4246;"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .";1;"continuous need alloy nickel ferro chrome molybdenum manganese production say talvivaara";"continuous need alloy nickel ferro-chrome molybdenum manganese production say talvivaara";"continuous need alloy nickel ferro-chrome molybdenum manganese production say talvivaara"
4247;"The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .";1;"reportedly search replacement ceo olli pekka kallasvuo";"reportedly search replacement ceo olli-pekka kallasvuo";"reportedly search replacement ceo olli-pekka kallasvuo"
4248;"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .";0;"plan close two three line plant 450 job threat";"plan close 2 3 line plant 450 job threat";"plan close [NUMBER] [NUMBER] line plant [NUMBER] job threat"
4249;"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .";1;"contract cutting edge wagon ruukki steel service centre seinajoki raahe southwestern deliver vr welding assembly";"contract cutting edge wagon ruukki steel service centre seinajoki raahe southwestern deliver vr welding assembly";"contract cutting edge wagon ruukki steel service centre seinajoki raahe southwestern deliver vr welding assembly"
4250;"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .";1;"copying republication redistribution afx news content inculding frame similar mean expressly prohibit without prior write consent afx news";"copying republication redistribution afx news content inculding frame similar mean expressly prohibit without prior write consent afx news";"copying republication redistribution afx news content inculding frame similar mean expressly prohibit without prior write consent afx news"
4251;"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .";1;"cosmetic collection eye shadow face powder lip gloss mascara accessory";"cosmetic collection eye shadow face powder lip gloss mascara accessory";"cosmetic collection eye shadow face powder lip gloss mascara accessory"
4252;"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .";1;"e7 smartphone available rs35 000 handset across india india vice president manage director shivakumar tell reporter";"e7 smartphone available rs35 000 handset across india india vice-president manage director shivakumar tell reporter";"e7 smartphone available rs35 [NUMBER] handset across india india vice-president manage director shivakumar tell reporter"
4253;"The employer-employee talks concerned about 500 people , that is , the whole staff in Finland .";1;"employer employee talk concern 500 people whole staff";"employer-employee talk concern 500 people whole staff";"employer-employee talk concern [NUMBER] people whole staff"
4254;"The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .";1;"exercise originate early 1930s training method cross country skier";"exercise originate early 1930s training method cross-country skier";"exercise originate early 1930s training method cross-country skier"
4255;"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .";1;"phase logistics complex envisage completion 70 000 sq logistics premise gatehouse building november 2008";"phase logistics complex envisage completion 70000sqm logistics premise gatehouse building 2008:11";"phase logistics complex envisage completion [MEASUREMENT] logistics premise gatehouse building [DATE]"
4256;"The gross area of eight houses will be 12,167 m2 .";1;"gross area eight house 12 167 m2";"gross area 8 house 12167m2";"gross area [NUMBER] house 12167m2"
4257;"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .";1;"gross area innova 2 project 10 000 sq 107 600 sq ft";"gross area innova 2 project 10000sqm 107600 sq ft";"gross area innova [NUMBER] project [MEASUREMENT] [NUMBER] sq ft"
4258;"The incident happened at 2:30 p.m. on Avenue 192 at Road 196 .";1;"incident happen 2 30 p avenue 192 road 196";"incident happen 2:30 pm avenue 192 road 196";"incident happen [NUMBER] : [NUMBER] pm avenue [NUMBER] road [NUMBER]"
4259;"The interim report for the first quarter is published on May 8 , 2009 .";1;"interim report publish may 8 2009";"interim report publish 2009-2005-08";"interim report publish [DATE] [DATE] [NUMBER]"
4260;"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .";0;"large restructuring plan italy negotiation 40 job cut initiate note";"large restructuring plan italy negotiation 40 job cut initiate note";"large restructuring plan italy negotiation [NUMBER] job cut initiate note"
4261;"The layoff talks were first announced in August .";1;"layoff talk announce august";"layoff talk announce august";"layoff talk announce august"
4262;"The machines will cease production by the end of February 2007 .";1;"machine cease production february 2007";"machine cease production 2007:02";"machine cease production [DATE]"
4263;"The measures result from weak demand in the shipbuilding industry .";0;"measure result weak demand shipbuilding industry";"measure result weak demand shipbuilding industry";"measure result weak demand shipbuilding industry"
4264;"The mill 's raw material need will increase by 100,000 m3 of wood .";1;"mill raw material need increase 100 000 m3 wood";"mill raw material need increase 100000m3 wood";"mill raw material need increase 100000m3 wood"
4265;"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .";1;"negotiation concern personnel cencorp singulase whole sweden say";"negotiation concern personnel cencorp singulase whole sweden say";"negotiation concern personnel cencorp singulase whole sweden say"
4266;"The negotiations will concern the plant 's department producing winded roving that employs 10 people .";1;"negotiation concern plant department produce wind rove employ 10 people";"negotiation concern plant department produce wind rove employ 10 people";"negotiation concern plant department produce wind rove employ [NUMBER] people"
4267;"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .";1;"new apartment block go up close city center explain chairman board yit ehitus priit sauk";"new apartment block go up close city center explain chairman board yit ehitus priit sauk";"new apartment block go up close city center explain chairman board yit ehitus priit sauk"
4268;"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .";1;"plant fire combination spruce bark chip log residue mill peat";"plant fire combination spruce bark chip log residue mill peat";"plant fire combination spruce bark chip log residue mill peat"
4269;"The production is to be liquidated before June 2009 and 325 employees loose their jobs .";0;"production liquidate june 2009 325 employee loose job";"production liquidate 2009:06 325 employee loose job";"production liquidate [DATE] [NUMBER] employee loose job"
4270;"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said .";1;"project 2 x 600 mw coal fire power plant locate 420 km south hanoi say";"project 2 x 600mw coal-fired power plant locate 420km south hanoi say";"project [NUMBER] x 600mw coal-fired power plant locate [MEASUREMENT] south hanoi say"
4271;"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .";0;"prosecutor demand outokumpu pay fine eur 800 000";"prosecutor demand outokumpu pay fine eur800000";"prosecutor demand outokumpu pay fine [MONEY]"
